video_trial,image_trial,num_F,num_M,video1,video2,video3,video4,video5,video6,video7,video8,video9,video10,video11,video12
1,0,0,12,M,M,M,M,M,M,M,M,M,M,M,M
1,0,0,12,M,M,M,M,M,M,M,M,M,M,M,M
1,0,0,12,M,M,M,M,M,M,M,M,M,M,M,M
1,0,0,12,M,M,M,M,M,M,M,M,M,M,M,M
1,0,0,12,M,M,M,M,M,M,M,M,M,M,M,M
1,0,3,9,M,M,M,M,M,M,M,M,M,F,F,F
1,0,3,9,M,M,M,M,M,M,M,M,M,F,F,F
1,0,3,9,M,M,M,M,M,M,M,M,M,F,F,F
1,0,3,9,M,M,M,M,M,M,M,M,M,F,F,F
1,0,3,9,M,M,M,M,M,M,M,M,M,F,F,F
1,0,6,6,M,M,M,M,M,M,F,F,F,F,F,F
1,0,6,6,M,M,M,M,M,M,F,F,F,F,F,F
1,0,6,6,M,M,M,M,M,M,F,F,F,F,F,F
1,0,6,6,M,M,M,M,M,M,F,F,F,F,F,F
1,0,6,6,M,M,M,M,M,M,F,F,F,F,F,F
1,0,9,3,M,M,M,F,F,F,F,F,F,F,F,F
1,0,9,3,M,M,M,F,F,F,F,F,F,F,F,F
1,0,9,3,M,M,M,F,F,F,F,F,F,F,F,F
1,0,9,3,M,M,M,F,F,F,F,F,F,F,F,F
1,0,9,3,M,M,M,F,F,F,F,F,F,F,F,F
1,0,12,0,F,F,F,F,F,F,F,F,F,F,F,F
1,0,12,0,F,F,F,F,F,F,F,F,F,F,F,F
1,0,12,0,F,F,F,F,F,F,F,F,F,F,F,F
1,0,12,0,F,F,F,F,F,F,F,F,F,F,F,F
1,0,12,0,F,F,F,F,F,F,F,F,F,F,F,F
